@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.51,9.08,3.36,9.72,1.24,9.84,4.47,9.94,0.10,8.83,0.78,9.45,0.04,0.02,0.35,0.00,1.15,1.00,3.70,0.49,-0.03,-0.03,0.00,0.06,0.04,0.05,0.02,0.19,-0.17,-0.09,-0.02,0.00,0.00,0.00,0.00,0.00,0.21,0.13,0.04,0.19,3344016,58518,1
3.83,8.27,3.71,9.86,4.25,8.70,4.99,10.39,3.35,8.04,3.14,9.66,0.07,0.01,0.12,0.02,0.90,0.65,1.85,0.73,-0.01,-0.02,0.00,0.04,0.02,0.03,0.02,0.14,-0.05,-0.12,-0.04,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.06,0.14,3344016,58987,1
2.69,8.97,2.59,9.72,2.80,9.12,2.86,9.85,2.59,8.88,1.66,9.54,0.00,0.00,0.05,0.00,0.20,0.24,1.21,0.32,-0.01,-0.02,-0.00,0.02,0.01,-0.00,0.02,0.06,-0.03,-0.06,-0.01,0.01,0.00,0.00,0.00,0.00,0.04,0.06,0.03,0.06,3344016,59008,1
2.11,8.96,3.18,9.75,2.48,9.25,3.81,9.87,1.65,8.68,2.46,9.56,0.11,0.03,0.11,0.00,0.83,0.57,1.35,0.32,-0.02,-0.02,0.01,0.04,-0.00,0.01,0.02,0.07,-0.04,-0.05,-0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.06,0.02,0.06,3344016,59669,1
-2.19,3.17,8.92,9.72,-1.86,3.38,9.16,9.86,-2.46,2.81,8.53,9.49,0.01,0.01,0.01,0.00,0.60,0.57,0.63,0.37,0.00,-0.00,-0.01,0.01,0.01,0.11,0.04,0.14,-0.06,-0.01,-0.04,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.08,0.13,3344016,60359,1
-1.53,3.24,9.07,9.75,-0.96,3.55,9.24,9.94,-2.00,2.98,8.63,9.48,0.04,0.02,0.01,0.01,1.04,0.57,0.62,0.46,0.00,-0.00,-0.01,0.02,0.01,0.01,0.01,0.06,-0.01,-0.03,-0.05,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.06,3344016,60380,1
-1.22,3.18,9.21,9.85,-0.76,3.63,10.31,10.76,-2.73,2.13,7.90,8.94,0.12,0.09,0.10,0.06,1.97,1.50,2.41,1.82,-0.01,0.01,-0.00,0.02,0.01,0.03,0.06,0.07,-0.03,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.08,0.07,3344016,60402,1
-2.06,3.59,8.89,10.01,0.98,4.94,12.19,13.89,-7.49,1.76,6.39,9.16,1.44,0.35,0.53,0.65,8.48,3.18,5.81,4.72,0.03,-0.00,-0.06,0.10,0.07,0.11,0.05,0.20,-0.03,-0.09,-0.16,0.02,0.00,0.00,0.01,0.00,0.10,0.20,0.22,0.17,3344016,60423,1
-9.13,-2.25,2.20,9.70,-8.38,-1.61,3.37,10.13,-9.55,-2.81,0.28,9.22,0.07,0.04,0.69,0.02,1.17,1.19,3.09,0.91,-0.00,-0.05,-0.00,0.07,0.10,0.08,0.02,0.13,-0.04,-0.13,-0.10,0.00,0.00,0.00,0.00,0.00,0.13,0.20,0.12,0.12,3344016,60532,1
-9.60,-1.63,0.21,9.75,-9.36,-1.13,0.58,10.21,-10.11,-2.21,-0.86,9.55,0.02,0.03,0.11,0.01,0.75,1.08,1.44,0.66,-0.02,-0.01,-0.00,0.03,0.01,0.08,0.01,0.08,-0.04,-0.04,-0.02,0.01,0.00,0.00,0.00,0.00,0.05,0.12,0.03,0.07,3344016,61000,1
-9.65,0.40,0.65,9.69,-9.46,0.89,0.83,9.83,-9.79,-0.26,0.44,9.53,0.00,0.14,0.01,0.00,0.33,1.15,0.39,0.30,-0.01,-0.00,0.01,0.02,0.00,-0.00,0.04,0.04,-0.04,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,3344016,61022,1
-9.66,0.14,0.45,9.70,-9.45,0.52,1.27,10.01,-9.94,-0.40,-0.86,9.46,0.00,0.08,0.44,0.00,0.49,0.92,2.14,0.55,0.01,0.02,-0.01,0.03,0.03,0.07,0.00,0.07,-0.02,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.03,0.07,3344016,61043,1
-9.66,-0.67,0.28,9.70,-9.49,0.14,1.09,9.86,-9.78,-1.29,-0.26,9.52,0.00,0.15,0.08,0.00,0.29,1.43,1.35,0.34,0.05,0.00,0.01,0.06,0.09,0.07,0.04,0.09,-0.03,-0.01,-0.03,0.03,0.00,0.00,0.00,0.00,0.12,0.08,0.06,0.05,3344016,61064,1
-9.65,-1.10,-0.23,9.71,-9.55,-1.05,-0.10,9.83,-9.76,-1.17,-0.34,9.61,0.00,0.00,0.00,0.00,0.21,0.12,0.24,0.22,-0.01,-0.00,0.00,0.01,-0.00,0.01,0.03,0.05,-0.05,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.03,0.05,3344016,61086,1
-9.68,0.38,-0.60,9.70,-9.62,0.42,-0.41,9.73,-9.71,0.32,-0.83,9.67,0.00,0.00,0.01,0.00,0.08,0.10,0.42,0.07,-0.00,-0.00,-0.00,0.00,0.00,0.01,0.00,0.02,-0.01,-0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,3344016,61112,1
-9.67,0.38,-0.05,9.68,-9.63,0.43,0.03,9.72,-9.71,0.33,-0.18,9.64,0.00,0.00,0.00,0.00,0.08,0.11,0.21,0.08,0.00,-0.00,-0.00,0.00,0.03,-0.00,0.00,0.03,-0.00,-0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.03,3344016,61135,1
-9.69,-0.33,-0.30,9.70,-9.63,-0.23,-0.09,9.81,-9.78,-0.43,-0.76,9.64,0.00,0.00,0.02,0.00,0.15,0.20,0.68,0.17,-0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.10,-0.10,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.01,0.10,3344016,61156,1
-2.32,7.73,5.28,9.72,-1.56,8.31,6.75,10.08,-2.98,7.08,3.91,9.48,0.27,0.20,0.76,0.01,1.41,1.23,2.84,0.61,0.03,0.02,-0.01,0.04,0.10,0.05,0.01,0.12,-0.01,-0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.04,0.12,3355393,55002,1
-2.41,7.30,5.99,9.82,-1.93,8.71,7.48,11.08,-3.42,4.77,4.45,9.09,0.09,0.36,0.28,0.15,1.49,3.94,3.03,1.98,-0.01,0.03,-0.02,0.05,0.03,0.06,-0.01,0.08,-0.07,-0.02,-0.04,0.02,0.00,0.00,0.00,0.00,0.10,0.08,0.03,0.06,3355393,55023,1
-2.59,6.16,7.05,10.02,0.62,8.64,12.19,13.58,-7.35,3.27,5.04,8.27,2.20,1.30,2.22,0.95,7.97,5.37,7.15,5.31,-0.02,0.00,-0.00,0.04,0.02,0.06,0.04,0.21,-0.18,-0.11,-0.05,0.00,0.00,0.00,0.00,0.00,0.20,0.16,0.08,0.21,3355393,55045,1
0.16,-0.20,9.84,9.85,0.20,-0.12,9.98,9.98,0.03,-0.26,9.80,9.80,0.00,0.00,0.00,0.00,0.17,0.14,0.18,0.17,0.00,-0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,3355393,61380,1
2.02,6.88,4.82,9.80,7.68,9.32,9.54,11.30,-1.13,3.38,1.26,7.65,13.65,5.31,1.56,0.21,8.81,5.93,8.28,3.64,-0.06,-0.09,0.08,0.14,0.00,0.00,0.31,0.51,-0.25,-0.31,-0.01,0.00,0.01,0.01,0.01,0.03,0.25,0.31,0.32,0.51,3355393,64627,1
-1.08,8.46,4.82,9.83,-0.29,9.91,5.94,11.22,-1.80,7.28,3.71,8.82,0.07,0.17,0.17,0.16,1.51,2.63,2.23,2.40,-0.00,-0.00,0.01,0.05,0.03,0.07,0.31,0.48,-0.23,-0.29,-0.01,0.01,0.00,0.00,0.00,0.00,0.26,0.37,0.32,0.47,3355393,68965,1
0.44,0.52,9.85,9.88,0.48,0.56,9.90,9.93,0.41,0.49,9.82,9.85,0.00,0.00,0.00,0.00,0.07,0.07,0.08,0.08,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3273460,59860,1
1.02,9.56,0.74,9.71,1.75,10.45,1.42,10.61,-1.63,8.30,-1.88,8.58,0.37,0.12,0.18,0.11,3.39,2.15,3.30,2.03,0.00,0.01,-0.01,0.07,0.13,0.26,0.04,0.32,-0.02,-0.07,-0.20,0.00,0.00,0.01,0.00,0.01,0.15,0.33,0.25,0.32,3273460,61220,1
-1.20,2.10,9.44,9.94,1.15,6.19,11.19,11.60,-3.87,-0.28,5.41,8.18,1.08,0.90,0.65,0.26,5.02,6.47,5.78,3.41,-0.01,0.02,-0.00,0.09,0.24,0.09,0.06,0.35,-0.11,-0.04,-0.27,0.00,0.00,0.00,0.01,0.00,0.35,0.14,0.33,0.35,3273460,61781,1
-1.62,4.52,8.53,9.79,-1.34,4.68,8.79,10.02,-1.90,4.39,8.36,9.58,0.02,0.00,0.01,0.01,0.56,0.29,0.43,0.44,0.00,-0.01,-0.02,0.03,0.01,0.07,0.04,0.08,-0.00,-0.03,-0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.09,0.08,3273460,61805,1
-5.29,2.95,7.45,9.87,0.77,5.60,11.90,12.67,-6.73,1.92,5.59,7.78,2.91,0.38,1.34,0.55,7.50,3.68,6.31,4.89,-0.02,0.17,0.11,0.23,0.06,0.38,0.30,0.48,-0.06,-0.01,-0.01,0.02,0.00,0.02,0.01,0.02,0.12,0.39,0.31,0.46,3273460,61826,1
-5.98,3.04,6.97,9.68,-5.80,3.14,7.13,9.80,-6.07,2.95,6.77,9.57,0.00,0.00,0.01,0.00,0.27,0.19,0.36,0.23,-0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.04,-0.03,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.04,0.04,3273460,61847,1
-5.29,3.03,7.43,9.76,-3.59,5.81,8.54,12.77,-8.41,1.78,4.24,8.58,0.76,0.88,0.90,0.26,4.82,4.03,4.30,4.19,-0.04,0.02,-0.02,0.11,0.06,0.33,0.04,0.33,-0.08,-0.11,-0.06,0.01,0.00,0.01,0.00,0.01,0.15,0.43,0.10,0.32,3273460,61871,1
-4.12,4.93,7.27,9.71,-3.75,5.27,7.78,10.07,-4.55,4.70,6.92,9.47,0.03,0.04,0.02,0.01,0.80,0.57,0.86,0.60,-0.02,0.01,0.00,0.02,-0.00,0.03,0.04,0.05,-0.03,-0.02,-0.01,0.01,0.00,0.00,0.00,0.00,0.02,0.05,0.05,0.05,3273460,61892,1
-6.88,4.20,5.04,9.65,-5.74,5.51,7.19,10.36,-7.83,2.43,3.15,9.01,0.23,0.43,1.08,0.08,2.09,3.08,4.04,1.35,0.03,0.03,0.01,0.08,0.07,0.12,0.04,0.13,-0.01,-0.12,-0.06,0.01,0.00,0.00,0.00,0.00,0.07,0.24,0.10,0.12,3273460,61913,1
-6.54,3.35,6.08,9.76,-5.67,4.94,8.01,10.91,-8.88,0.51,3.43,8.68,0.42,2.32,0.98,0.10,3.21,4.43,4.58,2.23,-0.02,-0.02,-0.03,0.06,0.01,0.02,0.04,0.18,-0.08,-0.08,-0.14,0.01,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.17,3273460,61937,1
-5.42,5.04,6.25,9.69,-5.33,5.14,6.42,9.83,-5.51,4.89,6.00,9.58,0.00,0.00,0.01,0.00,0.18,0.24,0.42,0.25,-0.00,-0.00,-0.00,0.01,0.00,0.01,0.01,0.16,-0.07,-0.01,-0.15,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.16,0.16,3273460,61958,1
-5.79,4.74,6.17,9.71,-5.44,4.93,6.63,10.29,-6.44,4.29,5.87,9.46,0.02,0.02,0.02,0.01,1.00,0.64,0.77,0.83,-0.00,-0.00,-0.00,0.01,0.00,0.01,0.01,0.02,-0.02,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.02,3273460,61979,1
-6.44,2.66,6.66,9.64,-6.22,2.88,7.00,9.90,-6.64,2.46,6.29,9.43,0.01,0.01,0.02,0.01,0.42,0.42,0.71,0.47,-0.01,-0.00,-0.00,0.01,-0.00,0.00,0.01,0.05,-0.05,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.02,0.05,3273460,62003,1
-4.93,3.39,7.48,9.77,-1.30,4.20,13.23,13.61,-6.44,-1.42,5.06,7.52,0.70,1.51,1.25,0.48,5.14,5.63,8.17,6.09,-0.02,-0.00,-0.01,0.03,0.00,0.03,0.00,0.14,-0.12,-0.07,-0.05,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.05,0.14,3273460,62024,1
-5.35,3.65,7.02,9.73,-2.49,5.07,9.95,11.29,-8.06,2.38,3.11,7.65,1.06,0.45,1.23,0.23,5.57,2.70,6.84,3.64,-0.02,-0.02,-0.03,0.07,0.00,0.05,0.04,0.11,-0.11,-0.08,-0.08,0.02,0.00,0.00,0.00,0.00,0.11,0.13,0.12,0.09,3273460,62045,1
-4.51,4.14,7.54,9.72,-4.01,4.38,7.94,9.95,-4.89,3.92,7.13,9.44,0.03,0.01,0.02,0.01,0.88,0.46,0.81,0.52,0.00,-0.00,0.01,0.02,0.01,0.01,0.07,0.09,-0.02,-0.08,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.09,0.07,0.09,3273460,62066,1
-1.86,6.37,6.04,9.89,5.61,8.53,12.80,14.69,-6.86,1.92,3.14,7.46,8.85,3.49,3.74,0.95,12.47,6.60,9.67,7.23,0.10,-0.09,0.04,0.40,0.38,0.50,0.16,0.77,-0.34,-0.74,-0.06,0.01,0.02,0.15,0.00,0.03,0.72,1.23,0.22,0.76,3273460,62090,1
0.08,1.03,8.40,9.69,6.82,5.86,12.51,14.16,-4.43,-4.92,-1.01,3.91,4.59,5.51,8.94,1.94,11.25,10.77,13.52,10.25,-0.10,-0.12,-0.19,0.28,0.06,0.09,0.07,0.54,-0.26,-0.37,-0.45,0.02,0.01,0.02,0.02,0.03,0.32,0.46,0.52,0.52,3273460,62123,1
3.99,7.63,4.51,9.83,5.44,8.26,6.65,10.59,2.45,6.74,2.68,9.38,0.74,0.09,0.86,0.04,2.99,1.52,3.97,1.21,-0.01,-0.01,0.01,0.08,0.05,0.17,0.05,0.18,-0.09,-0.11,-0.04,0.02,0.00,0.00,0.00,0.00,0.13,0.28,0.09,0.16,3273460,83714,1
9.24,-2.10,3.00,9.95,9.78,-1.17,3.68,10.44,8.78,-2.60,2.39,9.36,0.03,0.13,0.05,0.03,1.01,1.43,1.29,1.08,0.02,0.01,0.03,0.04,0.16,0.07,0.09,0.19,-0.01,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.14,0.08,0.19,3273460,84566,1
-3.96,-7.69,4.79,9.89,-3.90,-7.65,4.86,9.94,-4.00,-7.74,4.70,9.82,0.00,0.00,0.00,0.00,0.10,0.10,0.15,0.11,-0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,-0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.03,3273460,86375,1
2.66,4.39,-8.50,9.93,2.71,4.43,-8.44,9.99,2.61,4.34,-8.56,9.87,0.00,0.00,0.00,0.00,0.10,0.10,0.12,0.12,0.00,0.00,-0.00,0.01,0.00,0.02,-0.00,0.03,-0.00,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.03,3619420,1806,1
0.64,0.13,-9.87,9.89,0.69,0.18,-9.81,9.97,0.61,0.09,-9.94,9.83,0.00,0.00,0.00,0.00,0.08,0.09,0.14,0.14,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.02,-0.00,-0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,3619420,3574,1
0.31,0.12,9.88,9.89,0.36,0.15,9.97,9.98,0.28,0.10,9.79,9.80,0.00,0.00,0.00,0.00,0.08,0.05,0.18,0.18,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,3619420,28821,1
0.33,0.13,9.86,9.87,0.39,0.35,10.10,10.11,0.07,0.06,9.61,9.63,0.00,0.00,0.01,0.01,0.32,0.29,0.49,0.48,-0.00,-0.00,-0.00,0.01,0.00,0.00,0.01,0.03,-0.00,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.03,3619420,28843,1
0.31,2.57,9.43,9.79,0.93,3.02,10.16,10.64,-0.39,2.14,8.77,9.18,0.11,0.05,0.05,0.04,1.32,0.88,1.39,1.46,0.00,0.02,0.00,0.02,0.01,0.04,0.02,0.04,-0.01,-0.00,-0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.04,0.04,3619420,29808,1
-1.87,2.86,9.11,9.74,-1.27,3.22,9.33,9.97,-2.27,2.62,8.80,9.48,0.09,0.04,0.01,0.01,1.00,0.60,0.53,0.49,0.00,-0.01,-0.01,0.02,0.02,0.00,0.02,0.07,-0.01,-0.03,-0.06,0.01,0.00,0.00,0.00,0.00,0.03,0.03,0.08,0.06,3619420,30560,1
-1.65,2.86,9.23,9.82,-0.26,3.43,10.32,10.89,-3.25,2.39,8.08,8.73,0.18,0.04,0.08,0.07,2.99,1.04,2.24,2.16,-0.03,-0.00,0.05,0.06,0.02,0.04,0.15,0.19,-0.11,-0.04,0.01,0.01,0.00,0.00,0.00,0.00,0.13,0.08,0.14,0.18,3619420,30584,1
-1.87,5.33,7.40,9.76,1.73,7.26,9.92,10.52,-5.03,2.58,4.32,9.08,3.49,2.10,2.71,0.06,6.76,4.68,5.60,1.43,-0.01,0.09,0.00,0.21,0.12,0.30,0.08,0.31,-0.20,-0.23,-0.07,0.00,0.01,0.03,0.00,0.00,0.33,0.53,0.14,0.31,3619420,30605,1
-0.83,3.19,9.20,9.77,-0.51,3.28,9.33,9.88,-1.03,3.01,9.04,9.64,0.01,0.00,0.00,0.00,0.53,0.28,0.29,0.24,0.00,-0.02,-0.02,0.04,0.03,0.00,0.01,0.30,-0.19,-0.23,-0.11,0.00,0.00,0.00,0.00,0.00,0.22,0.23,0.12,0.30,3619420,30626,1
-2.97,3.48,8.33,9.71,-1.52,5.03,9.28,10.25,-6.98,2.64,1.84,8.62,2.03,0.31,1.52,0.03,5.47,2.39,7.44,1.62,0.03,-0.21,-0.10,0.24,0.09,-0.01,0.02,0.42,-0.01,-0.36,-0.18,0.01,0.00,0.01,0.00,0.01,0.11,0.36,0.21,0.41,3619420,30650,1
-2.11,3.76,8.71,9.73,-1.36,4.42,8.96,9.98,-3.04,3.11,8.13,9.17,0.09,0.09,0.02,0.01,1.67,1.32,0.84,0.81,-0.00,0.00,-0.00,0.03,0.03,0.02,0.03,0.06,-0.04,-0.04,-0.04,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.06,0.05,3619420,30672,1
-1.86,3.86,8.72,9.72,-1.37,4.16,9.03,10.04,-2.19,3.72,7.71,8.93,0.03,0.01,0.03,0.02,0.82,0.44,1.32,1.11,-0.00,0.02,0.01,0.03,0.02,0.06,0.09,0.10,-0.02,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.10,3619420,30692,1
-2.36,4.02,8.41,9.82,-1.03,5.45,9.40,10.74,-5.38,2.93,5.68,8.99,2.02,0.64,1.06,0.04,4.35,2.52,3.72,1.75,-0.02,0.02,-0.01,0.15,0.02,0.23,0.09,0.31,-0.07,-0.26,-0.16,0.01,0.00,0.02,0.01,0.01,0.10,0.48,0.25,0.30,3619420,30716,1
-1.06,4.52,8.56,9.76,-0.60,5.19,9.59,10.32,-1.51,3.47,8.00,9.49,0.05,0.34,0.10,0.01,0.90,1.71,1.59,0.83,0.03,0.01,-0.01,0.07,0.07,0.02,0.06,0.34,-0.00,-0.02,-0.33,0.00,0.00,0.00,0.01,0.00,0.07,0.04,0.39,0.34,3619420,30738,1
-0.80,4.48,8.67,9.79,-0.64,4.53,8.75,9.88,-1.11,4.38,8.52,9.67,0.01,0.00,0.00,0.00,0.47,0.15,0.24,0.21,-0.00,0.01,0.02,0.03,0.03,0.07,0.12,0.14,-0.02,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.12,0.14,3619420,30759,1
0.14,4.13,8.87,9.80,1.17,4.43,9.25,10.03,-0.53,3.59,8.58,9.62,0.18,0.03,0.01,0.00,1.70,0.84,0.66,0.40,-0.00,-0.00,0.01,0.02,0.00,0.02,0.04,0.04,-0.01,-0.03,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.04,3619420,30783,1
-0.84,3.79,8.95,9.75,-0.46,4.00,9.38,10.16,-1.24,3.67,8.49,9.38,0.01,0.00,0.01,0.01,0.78,0.33,0.89,0.78,0.00,0.00,0.01,0.01,0.00,0.01,0.04,0.04,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.04,3619420,30805,1
-1.02,3.70,8.98,9.77,-0.92,3.77,9.10,9.89,-1.17,3.65,8.77,9.60,0.00,0.00,0.00,0.00,0.25,0.12,0.33,0.29,0.00,-0.00,-0.00,0.01,0.01,0.00,0.01,0.04,-0.00,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.04,3619420,30826,1
-1.74,4.03,8.71,9.79,-0.48,4.48,9.38,10.45,-3.57,3.37,7.85,9.55,0.31,0.04,0.04,0.02,3.10,1.11,1.52,0.90,-0.00,-0.01,0.00,0.04,0.02,0.04,0.06,0.10,-0.04,-0.06,-0.09,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.10,3619420,30850,1
-0.64,5.52,8.01,9.80,0.34,5.91,8.30,9.96,-2.08,5.04,7.73,9.63,0.90,0.08,0.03,0.01,2.42,0.87,0.57,0.33,0.01,-0.01,0.02,0.03,0.02,0.01,0.07,0.09,-0.01,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.07,0.09,3619420,30872,1
-2.46,4.98,8.03,9.79,-2.08,5.75,8.30,10.16,-4.80,4.76,6.09,8.97,0.19,0.01,0.10,0.02,2.72,0.99,2.21,1.19,-0.03,-0.04,0.05,0.08,0.01,0.05,0.29,0.38,-0.24,-0.13,-0.02,0.00,0.00,0.00,0.01,0.01,0.25,0.18,0.32,0.37,3619420,30893,1
0.03,4.22,8.81,9.78,0.40,4.58,9.07,9.92,-0.73,3.92,8.58,9.63,0.06,0.02,0.01,0.00,1.13,0.65,0.49,0.30,-0.01,-0.02,-0.01,0.03,0.01,-0.00,0.00,0.06,-0.04,-0.04,-0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.03,0.06,3619420,30917,1
-2.63,3.91,8.47,9.74,-1.83,4.61,9.26,10.48,-4.27,2.87,6.62,9.02,0.38,0.18,0.22,0.03,2.45,1.74,2.64,1.45,0.01,0.03,0.04,0.08,0.04,0.15,0.14,0.21,-0.00,-0.05,-0.03,0.01,0.00,0.00,0.00,0.00,0.05,0.20,0.18,0.21,3619420,30938,1
-1.50,2.53,9.31,9.76,-1.22,2.63,9.35,9.82,-1.73,2.45,9.26,9.70,0.02,0.00,0.00,0.00,0.50,0.19,0.09,0.12,-0.00,0.01,0.00,0.01,0.00,0.02,0.03,0.04,-0.01,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.04,0.03,3619420,30959,1
-1.85,2.46,9.30,9.80,-1.39,2.61,9.74,10.36,-2.50,2.28,9.15,9.65,0.03,0.00,0.01,0.01,1.11,0.34,0.59,0.71,0.00,-0.01,-0.00,0.01,0.01,0.00,0.01,0.03,-0.01,-0.03,-0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.03,0.03,3619420,30984,1
-0.26,3.09,9.36,9.92,0.77,3.64,11.47,12.35,-1.30,0.72,8.86,9.42,0.14,0.19,0.12,0.17,2.07,2.92,2.60,2.92,-0.00,-0.02,-0.00,0.11,0.06,0.01,0.90,0.99,-0.36,-0.19,-0.12,0.01,0.01,0.00,0.03,0.03,0.42,0.20,1.02,0.99,3619420,31005,1
