@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.03,-0.19,9.78,9.78,0.04,-0.19,9.80,9.80,0.02,-0.20,9.76,9.76,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.04,-0.00,0.00,-0.00,0.00,0.00,0.01,0.01,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,3344016,73340,1
0.03,-0.19,9.77,9.77,0.04,-0.18,9.78,9.79,0.02,-0.20,9.76,9.76,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.00,0.00,-0.00,0.00,0.01,0.01,0.01,0.02,-0.01,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.02,3344016,73399,1
0.02,-0.17,9.76,9.76,0.03,-0.16,9.77,9.77,0.02,-0.18,9.74,9.75,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.00,-0.00,0.00,0.00,0.01,0.00,0.01,0.01,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,3344016,73419,1
0.02,-0.16,9.76,9.77,0.03,-0.15,9.78,9.78,0.01,-0.17,9.75,9.75,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.01,0.01,-0.00,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,3344016,73440,1
-1.43,2.53,8.87,9.74,0.38,4.20,10.38,13.09,-9.28,-1.65,5.29,6.62,4.76,3.06,0.69,1.04,9.66,5.85,5.09,6.48,-0.10,-0.01,0.03,0.41,0.70,2.28,0.50,3.58,-1.18,-3.58,-0.37,0.00,0.08,0.61,0.01,0.61,1.88,5.86,0.88,3.58,3344016,75704,1
-0.02,-0.15,9.77,9.77,-0.02,-0.14,9.78,9.78,-0.03,-0.16,9.76,9.76,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,-0.00,0.00,-0.00,0.00,0.00,0.01,0.01,0.02,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,3344016,75724,1
-0.02,-0.14,9.78,9.78,-0.01,-0.14,9.79,9.79,-0.03,-0.15,9.76,9.76,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.03,0.00,-0.00,0.00,0.00,0.00,0.00,0.01,0.01,-0.00,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,3344016,75744,1
-0.02,-0.15,9.78,9.78,-0.01,-0.14,9.79,9.79,-0.03,-0.16,9.76,9.76,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.00,-0.00,0.00,0.00,0.00,0.01,0.01,0.02,-0.00,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,3344016,75764,1
-0.92,2.22,9.44,9.75,-0.61,2.93,9.77,10.04,-1.89,1.60,8.95,9.51,0.07,0.06,0.01,0.01,1.29,1.33,0.81,0.53,0.00,0.00,0.00,0.13,0.27,0.33,0.16,0.49,-0.28,-0.23,-0.13,0.01,0.01,0.01,0.00,0.02,0.55,0.56,0.29,0.48,3344016,75814,1
-0.93,3.77,8.88,9.74,0.92,4.80,11.87,12.46,-3.37,2.23,6.75,7.69,0.62,0.16,0.62,0.59,4.30,2.57,5.12,4.77,-0.05,0.22,0.46,0.61,0.54,1.41,1.73,2.33,-0.88,-0.21,-0.18,0.02,0.05,0.10,0.30,0.38,1.42,1.61,1.91,2.31,3344016,75835,1
