@RELATION autenticacionContinua
@ATTRIBUTE appAbiertasMinuto integer
@ATTRIBUTE appAbiertasDistintasMinuto integer
@ATTRIBUTE appMasUsadaUltimoMinuto integer
@ATTRIBUTE numeroVecesUltimoMinuto integer
@ATTRIBUTE ultimaApp integer
@ATTRIBUTE anteriorUltimaApp integer
@ATTRIBUTE appMaxAnterior integer
@ATTRIBUTE appAbiertasDia integer
@ATTRIBUTE appAbiertasDistintasDia integer
@ATTRIBUTE appMasUsadaUltimoDia integer
@ATTRIBUTE numeroVecesUltimoDia integer
@ATTRIBUTE bytesRecibidosMinuto real
@ATTRIBUTE bytesEnviadosMinuto real
@ATTRIBUTE usuario {-1,1}
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@DATA 
12,4,1698344559,4,1698344559,-1547699361,-1547699361,541,24,-1547699361,265,0,0,1,3344016,51825
7,3,1698344559,3,1698344559,-1547699361,-1547699361,541,24,-1547699361,265,184931,30248,1,3344016,51843
5,2,-1547699361,4,-1547699361,-1547699361,-1547699361,562,24,-1547699361,277,725068,4189186,1,3344016,52897
3,1,-1547699361,3,-1547699361,-1547699361,-1547699361,565,24,-1547699361,280,25691,20759,1,3344016,52958
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,567,24,-1547699361,282,3033,3808,1,3344016,53020
0,0,63,0,-1547699361,-1547699361,-1547699361,568,24,-1547699361,283,1084,3053,1,3344016,53087
0,0,63,0,-1547699361,-1547699361,-1547699361,568,24,-1547699361,283,0,2719,1,3344016,53227
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,569,24,-1547699361,284,0,1182,1,3344016,53290
0,0,63,0,-1547699361,-1547699361,-1547699361,568,24,-1547699361,284,71543,18978,1,3344016,53398
0,0,63,0,-1547699361,-1547699361,-1547699361,568,24,-1547699361,284,107294,94223,1,3344016,53657
2,1,-1547699361,2,-1547699361,-1547699361,-1547699361,570,24,-1547699361,286,15806,5838,1,3344016,53704
1,1,-662003450,1,-662003450,-1547699361,-1547699361,570,24,-1547699361,286,10041652,294969,1,3344016,53807
0,0,63,0,-662003450,-1547699361,-1547699361,570,24,-1547699361,286,6160223,215703,1,3344016,53869
0,0,63,0,-662003450,-1547699361,-1547699361,570,24,-1547699361,286,345683,75362,1,3344016,53968
1,1,-1547699361,1,-1547699361,-662003450,-1547699361,571,24,-1547699361,287,607072,30065,1,3344016,54108
1,1,-1547699361,1,-1547699361,-1547699361,-1547699361,560,24,-1547699361,288,442057,35618,1,3344016,54998
1,1,-662003450,1,-662003450,-1547699361,-1547699361,561,24,-1547699361,288,4074824,132669,1,3344016,55152
