@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-1.13,6.49,7.03,9.94,1.44,8.69,11.21,11.91,-6.37,2.86,2.26,8.32,3.24,0.78,1.82,0.20,7.81,5.83,8.95,3.59,0.01,-0.01,-0.02,0.73,0.95,1.86,1.47,4.17,-1.00,-3.95,-1.91,0.02,0.16,0.75,0.21,0.71,1.96,5.80,3.38,4.14,3344016,51710,1
-0.10,7.40,6.49,9.95,5.00,8.31,8.32,12.68,-1.29,5.82,4.83,7.96,1.48,0.27,0.46,0.30,6.28,2.48,3.49,4.72,-0.03,-0.01,0.00,0.37,0.52,1.06,1.40,1.76,-0.88,-0.90,-1.42,0.02,0.05,0.08,0.13,0.16,1.40,1.96,2.81,1.74,3344016,51730,1
-0.31,7.40,6.59,9.95,0.90,8.56,8.00,10.75,-1.80,6.79,4.55,8.94,0.17,0.12,0.36,0.08,2.71,1.76,3.46,1.81,-0.01,0.00,-0.01,0.36,0.69,0.52,0.15,1.24,-0.65,-1.10,-0.34,0.12,0.06,0.06,0.01,0.04,1.34,1.63,0.49,1.12,3344016,51751,1
-0.20,6.99,6.95,9.95,3.43,9.07,7.96,11.49,-3.07,5.52,4.74,8.92,0.84,0.45,0.46,0.12,6.50,3.55,3.22,2.57,0.03,-0.04,-0.01,0.49,1.21,0.47,0.97,1.83,-0.63,-1.09,-1.33,0.03,0.09,0.08,0.14,0.17,1.85,1.56,2.30,1.80,3344016,51851,1
-0.20,9.01,1.94,9.91,7.15,13.80,6.22,14.29,-3.75,6.94,-0.43,8.37,12.26,0.82,0.66,0.85,10.89,6.86,6.65,5.92,0.08,-0.11,-0.11,0.80,1.15,3.40,1.21,5.28,-0.90,-5.18,-1.39,0.04,0.08,1.03,0.28,0.99,2.05,8.58,2.60,5.24,3344016,51893,1
4.79,8.62,0.83,10.07,10.81,13.65,5.30,16.32,1.03,5.52,-4.00,6.48,1.55,0.78,1.68,1.02,9.78,8.12,9.30,9.84,-0.18,-0.29,-0.10,1.03,0.85,1.54,0.12,2.92,-1.84,-2.56,-0.60,0.15,0.34,0.73,0.03,0.41,2.69,4.10,0.72,2.77,3344016,51913,1
5.12,8.53,1.07,10.20,9.73,14.70,3.65,17.76,0.18,5.54,-3.49,7.91,1.69,1.09,1.46,0.84,9.56,9.16,7.15,9.85,-0.10,-0.17,-0.04,1.27,1.98,1.91,0.98,4.87,-2.16,-4.40,-0.96,0.16,0.60,1.30,0.17,0.73,4.15,6.31,1.94,4.71,3344016,51934,1
5.49,8.28,0.80,10.17,11.80,16.08,5.72,20.39,1.33,4.32,-2.37,5.64,1.55,1.54,2.32,1.75,10.47,11.76,8.10,14.74,0.43,0.71,0.11,1.33,2.30,4.90,1.37,5.29,-0.96,-1.37,-0.50,0.11,0.51,1.20,0.10,1.16,3.26,6.27,1.87,5.19,3344016,51954,1
5.63,8.53,1.75,12.01,19.35,25.08,16.11,29.57,-8.31,0.06,-11.09,3.77,16.10,21.54,16.93,23.56,27.66,25.03,27.20,25.80,-0.19,-0.17,-0.19,3.46,2.43,6.28,4.77,8.16,-3.79,-4.74,-4.03,0.97,1.56,3.99,3.50,1.67,6.22,11.02,8.79,7.18,3344016,51974,1
5.66,8.69,0.44,12.02,29.60,21.26,9.43,30.28,-1.94,0.21,-5.37,2.79,26.92,14.79,8.82,22.71,31.54,21.05,14.80,27.49,-0.12,-0.31,0.06,2.54,2.28,2.59,2.24,5.06,-3.46,-3.87,-1.66,0.69,1.82,1.60,1.00,0.76,5.74,6.46,3.90,4.37,3344016,51995,1
6.53,8.43,-0.60,12.93,30.24,21.82,7.44,31.61,-5.59,0.57,-8.76,2.43,45.71,19.89,11.64,35.77,35.83,21.25,16.20,29.19,0.02,-0.10,0.24,3.29,4.42,3.85,3.23,6.02,-2.33,-4.76,-2.04,1.67,2.02,2.94,1.78,0.77,6.74,8.60,5.27,4.34,3344016,52015,1
6.51,8.50,-0.65,12.88,29.50,23.68,9.44,30.76,-4.25,0.94,-8.47,2.33,41.79,20.95,11.12,34.83,33.75,22.74,17.91,28.43,-0.00,-0.07,0.11,3.30,4.25,4.66,2.86,8.41,-2.25,-4.46,-2.24,1.25,2.04,3.32,2.04,1.39,6.50,9.12,5.09,7.16,3344016,52036,1
6.81,8.26,-0.89,13.02,33.05,21.63,7.56,34.02,-4.55,0.93,-6.99,2.52,51.86,19.88,9.73,38.81,37.59,20.70,14.54,31.50,0.01,-0.02,0.16,3.27,4.08,2.89,2.46,5.01,-2.31,-4.04,-2.31,1.77,1.69,3.07,1.79,0.54,6.39,6.93,4.77,3.24,3344016,52056,1
6.57,8.47,-0.70,12.88,32.40,22.47,7.50,33.92,-4.03,0.93,-8.29,2.59,44.77,18.13,9.69,33.70,36.44,21.54,15.79,31.33,0.05,0.08,0.25,3.27,3.68,4.19,2.50,6.32,-2.06,-5.07,-2.15,1.50,1.87,3.67,1.66,1.09,5.73,9.26,4.64,4.82,3344016,52077,1
-0.62,5.75,7.82,9.92,3.92,8.68,11.85,13.45,-3.32,2.64,3.75,7.21,0.81,1.63,1.50,0.39,7.24,6.04,8.10,6.23,0.05,0.02,0.00,0.67,0.99,1.35,1.32,2.78,-1.55,-2.26,-1.02,0.06,0.22,0.29,0.11,0.32,2.54,3.61,2.34,2.71,3344016,52097,1
-0.45,6.32,7.64,9.94,-0.04,6.84,8.76,10.29,-0.93,5.16,7.03,9.70,0.03,0.13,0.10,0.01,0.88,1.68,1.72,0.60,0.03,0.02,0.02,0.17,0.44,0.40,0.22,0.63,-0.27,-0.17,-0.07,0.05,0.02,0.01,0.00,0.01,0.71,0.57,0.29,0.58,3344016,52117,1
1.65,5.90,7.26,10.03,5.33,7.58,12.76,14.44,-3.67,2.45,2.90,6.33,8.05,1.04,1.51,0.74,9.01,5.14,9.86,8.11,-0.02,-0.06,0.08,0.69,1.06,1.42,1.43,2.80,-2.35,-1.46,-0.85,0.06,0.29,0.26,0.19,0.41,3.41,2.88,2.29,2.74,3344016,52138,1
1.56,4.79,8.63,10.34,5.33,10.53,15.49,16.30,-3.55,0.27,3.38,4.21,2.67,3.29,7.94,7.43,8.88,10.26,12.11,12.09,-0.04,0.04,0.08,1.01,1.19,1.12,1.47,2.14,-2.05,-0.89,-1.14,0.33,0.39,0.16,0.38,0.16,3.24,2.01,2.61,1.81,3344016,52158,1
0.17,5.27,8.42,10.17,3.61,8.05,14.30,15.97,-3.73,2.43,3.47,4.78,2.19,1.98,5.75,5.77,7.35,5.62,10.83,11.19,0.05,0.01,0.07,0.67,1.92,0.89,1.48,2.28,-0.66,-0.64,-0.69,0.26,0.15,0.07,0.19,0.12,2.58,1.54,2.17,2.02,3344016,52179,1
10.36,-3.60,0.47,11.50,18.60,2.38,3.54,18.78,6.01,-11.09,-2.17,7.12,8.78,8.92,1.13,7.63,12.59,13.46,5.71,11.66,0.08,-0.04,-0.10,2.13,2.40,1.24,2.24,3.76,-2.06,-2.02,-2.97,0.61,1.71,0.38,2.50,0.52,4.46,3.26,5.21,3.16,3344016,52199,1
10.17,-2.26,0.55,10.81,19.73,2.17,4.50,20.33,5.01,-9.50,-1.83,5.79,9.16,6.35,1.55,9.83,14.72,11.66,6.33,14.54,0.00,-0.03,0.00,1.73,2.41,0.99,1.75,3.24,-1.73,-1.13,-2.23,0.66,1.31,0.26,1.18,0.30,4.14,2.13,3.97,2.58,3344016,52219,1
10.06,-2.25,0.12,10.74,16.46,2.81,2.86,17.49,4.34,-10.81,-2.62,4.78,8.90,7.87,1.13,9.64,12.12,13.63,5.47,12.71,-0.00,-0.00,0.06,1.42,2.13,1.14,1.75,2.53,-2.02,-1.01,-1.94,0.60,0.98,0.20,0.68,0.24,4.15,2.15,3.69,1.92,3344016,52240,1
10.15,-3.04,0.31,10.93,16.50,1.17,2.98,17.08,5.75,-8.95,-1.82,6.53,6.45,6.13,0.78,6.77,10.75,10.12,4.80,10.55,-0.02,0.02,0.06,1.71,2.00,0.90,1.94,3.05,-1.74,-1.30,-2.34,0.90,1.21,0.31,1.24,0.19,3.74,2.20,4.28,2.16,3344016,52260,1
10.02,-3.12,0.15,10.91,15.76,1.90,2.70,16.07,4.26,-9.56,-2.16,5.49,7.49,7.95,1.03,8.23,11.51,11.46,4.86,10.57,0.02,-0.02,0.08,1.75,2.41,0.94,1.92,3.19,-2.03,-1.46,-2.14,0.46,1.33,0.41,1.12,0.25,4.45,2.40,4.07,2.73,3344016,52281,1
9.93,-3.35,0.53,11.04,16.15,3.42,4.32,16.98,5.18,-12.42,-2.34,5.80,7.59,10.80,1.71,9.48,10.97,15.84,6.66,11.18,0.09,-0.05,-0.06,1.78,2.24,1.22,1.80,3.05,-1.69,-1.32,-2.28,1.05,1.29,0.39,1.18,0.21,3.93,2.54,4.08,1.99,3344016,52301,1
9.66,-4.51,0.41,11.08,15.13,-0.26,2.88,16.65,5.98,-10.78,-1.75,6.91,5.86,8.15,0.79,6.49,9.15,10.53,4.63,9.74,0.06,-0.06,0.00,1.79,2.22,1.18,1.81,2.81,-1.51,-1.72,-2.27,0.74,1.02,0.46,1.59,0.21,3.73,2.90,4.08,2.07,3344016,52321,1
